Counter,YLeftRaw,YLeft^2,YLeft^3,lefthalo, vlefthalo,vlefthalo^2,Deadband,Exoscale
152,-0.1640625,0.02691650390625,-0.004415988922119141,-0.05805457208409897,-0.1451364302102474,0.02106458337417402,0.02,0.62793
153,-0.1640625,0.02691650390625,-0.004415988922119141,-0.05805457208409897,-0.1451364302102474,0.02106458337417402,0.02,0.62793
154,-0.1640625,0.02691650390625,-0.004415988922119141,-0.05805457208409897,-0.1451364302102474,0.02106458337417402,0.02,0.62793
155,-0.1640625,0.02691650390625,-0.004415988922119141,-0.05805457208409897,-0.1451364302102474,0.02106458337417402,0.02,0.62793
156,-0.1640625,0.02691650390625,-0.004415988922119141,-0.05805457208409897,-0.1451364302102474,0.02106458337417402,0.02,0.62793
157,-0.171875,0.029541015625,-0.005077362060546875,-0.061433594098226775,-0.15358398524556693,0.02358804052391052,0.02,0.62793
158,-0.171875,0.029541015625,-0.005077362060546875,-0.061433594098226775,-0.15358398524556693,0.02358804052391052,0.02,0.62793
159,-0.171875,0.029541015625,-0.005077362060546875,-0.061433594098226775,-0.15358398524556693,0.02358804052391052,0.02,0.62793
160,-0.1796875,0.03228759765625,-0.005801677703857422,-0.06484916199640345,-0.16212290499100862,0.026283836322723606,0.02,0.62793
161,-0.1796875,0.03228759765625,-0.005801677703857422,-0.06484916199640345,-0.16212290499100862,0.026283836322723606,0.02,0.62793
162,-0.1796875,0.03228759765625,-0.005801677703857422,-0.06484916199640345,-0.16212290499100862,0.026283836322723606,0.02,0.62793
163,-0.1875,0.03515625,-0.006591796875,-0.06830315571093606,-0.17075788927734015,0.029158256750452357,0.02,0.62793
164,-0.1875,0.03515625,-0.006591796875,-0.06830315571093606,-0.17075788927734015,0.029158256750452357,0.02,0.62793
165,-0.1875,0.03515625,-0.006591796875,-0.06830315571093606,-0.17075788927734015,0.029158256750452357,0.02,0.62793
166,-0.1875,0.03515625,-0.006591796875,-0.06830315571093606,-0.17075788927734015,0.029158256750452357,0.02,0.62793
167,-0.1875,0.03515625,-0.006591796875,-0.06830315571093606,-0.17075788927734015,0.029158256750452357,0.02,0.62793
168,-0.1875,0.03515625,-0.006591796875,-0.06830315571093606,-0.17075788927734015,0.029158256750452357,0.02,0.62793
169,-0.1953125,0.03814697265625,-0.007450580596923828,-0.07179745517413161,-0.17949363793532902,0.03221796605925899,0.02,0.62793
170,-0.1953125,0.03814697265625,-0.007450580596923828,-0.07179745517413161,-0.17949363793532902,0.03221796605925899,0.02,0.62793
171,-0.1953125,0.03814697265625,-0.007450580596923828,-0.07179745517413161,-0.17949363793532902,0.03221796605925899,0.02,0.62793
172,-0.1953125,0.03814697265625,-0.007450580596923828,-0.07179745517413161,-0.17949363793532902,0.03221796605925899,0.02,0.62793
173,-0.1953125,0.03814697265625,-0.007450580596923828,-0.07179745517413161,-0.17949363793532902,0.03221796605925899,0.02,0.62793
174,-0.203125,0.041259765625,-0.008380889892578125,-0.07533394031829717,-0.18833485079574291,0.035470016024254744,0.02,0.62793
175,-0.203125,0.041259765625,-0.008380889892578125,-0.07533394031829717,-0.18833485079574291,0.035470016024254744,0.02,0.62793
176,-0.203125,0.041259765625,-0.008380889892578125,-0.07533394031829717,-0.18833485079574291,0.035470016024254744,0.02,0.62793
177,-0.2109375,0.04449462890625,-0.00938558578491211,-0.07891449107573976,-0.19728622768934942,0.03892185563589382,0.02,0.62793
178,-0.2109375,0.04449462890625,-0.00938558578491211,-0.07891449107573976,-0.19728622768934942,0.03892185563589382,0.02,0.62793
179,-0.2109375,0.04449462890625,-0.00938558578491211,-0.07891449107573976,-0.19728622768934942,0.03892185563589382,0.02,0.62793
180,-0.2109375,0.04449462890625,-0.00938558578491211,-0.07891449107573976,-0.19728622768934942,0.03892185563589382,0.02,0.62793
181,-0.21875,0.0478515625,-0.010467529296875,-0.08254098737876647,-0.20635246844691618,0.04258134123413554,0.02,0.62793
182,-0.21875,0.0478515625,-0.010467529296875,-0.08254098737876647,-0.20635246844691618,0.04258134123413554,0.02,0.62793
183,-0.21875,0.0478515625,-0.010467529296875,-0.08254098737876647,-0.20635246844691618,0.04258134123413554,0.02,0.62793
184,-0.21875,0.0478515625,-0.010467529296875,-0.08254098737876647,-0.20635246844691618,0.04258134123413554,0.02,0.62793
185,-0.21875,0.0478515625,-0.010467529296875,-0.08254098737876647,-0.20635246844691618,0.04258134123413554,0.02,0.62793
186,-0.2265625,0.05133056640625,-0.011629581451416016,-0.08621530915968428,-0.2155382728992107,0.04645674708437463,0.02,0.62793
187,-0.2265625,0.05133056640625,-0.011629581451416016,-0.08621530915968428,-0.2155382728992107,0.04645674708437463,0.02,0.62793
188,-0.2265625,0.05133056640625,-0.011629581451416016,-0.08621530915968428,-0.2155382728992107,0.04645674708437463,0.02,0.62793
189,-0.2265625,0.05133056640625,-0.011629581451416016,-0.08621530915968428,-0.2155382728992107,0.04645674708437463,0.02,0.62793
190,-0.2265625,0.05133056640625,-0.011629581451416016,-0.08621530915968428,-0.2155382728992107,0.04645674708437463,0.02,0.62793
191,-0.2265625,0.05133056640625,-0.011629581451416016,-0.08621530915968428,-0.2155382728992107,0.04645674708437463,0.02,0.62793
192,-0.234375,0.054931640625,-0.012874603271484375,-0.08993933635080024,-0.22484834087700062,0.05055677639513987,0.02,0.62793
193,-0.234375,0.054931640625,-0.012874603271484375,-0.08993933635080024,-0.22484834087700062,0.05055677639513987,0.02,0.62793
194,-0.234375,0.054931640625,-0.012874603271484375,-0.08993933635080024,-0.22484834087700062,0.05055677639513987,0.02,0.62793
195,-0.234375,0.054931640625,-0.012874603271484375,-0.08993933635080024,-0.22484834087700062,0.05055677639513987,0.02,0.62793
196,-0.234375,0.054931640625,-0.012874603271484375,-0.08993933635080024,-0.22484834087700062,0.05055677639513987,0.02,0.62793
197,-0.234375,0.054931640625,-0.012874603271484375,-0.08993933635080024,-0.22484834087700062,0.05055677639513987,0.02,0.62793
198,-0.2421875,0.05865478515625,-0.014205455780029297,-0.09371494888442143,-0.23428737221105359,0.054890572777560764,0.02,0.62793
199,-0.2421875,0.05865478515625,-0.014205455780029297,-0.09371494888442143,-0.23428737221105359,0.054890572777560764,0.02,0.62793
200,-0.2421875,0.05865478515625,-0.014205455780029297,-0.09371494888442143,-0.23428737221105359,0.054890572777560764,0.02,0.62793
201,-0.2421875,0.05865478515625,-0.014205455780029297,-0.09371494888442143,-0.23428737221105359,0.054890572777560764,0.02,0.62793
202,-0.25,0.0625,-0.015625,-0.09754402669285486,-0.24386006673213717,0.05946773214660239,0.02,0.62793
203,-0.25,0.0625,-0.015625,-0.09754402669285486,-0.24386006673213717,0.05946773214660239,0.02,0.62793
204,-0.25,0.0625,-0.015625,-0.09754402669285486,-0.24386006673213717,0.05946773214660239,0.02,0.62793
205,-0.25,0.0625,-0.015625,-0.09754402669285486,-0.24386006673213717,0.05946773214660239,0.02,0.62793
206,-0.2578125,0.06646728515625,-0.017136096954345703,-0.10142844970840757,-0.2535711242710189,0.06429831506406851,0.02,0.62793
207,-0.2578125,0.06646728515625,-0.017136096954345703,-0.10142844970840757,-0.2535711242710189,0.06429831506406851,0.02,0.62793
